PLAYER_NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Troy Merritt,176.7,164.8,161.7,165.2,-0.075,51.8,76.1,52.68,66.5,72.97,60.22,69.88,64.89,51.22,41.18,85.25,87.36,81.91,88.43,47.96,60.0,92.5,56.45,54.1,110000.0,1037971,2.0,"$1,037,971","113' 5""",167.47,193.0,278.2,323.1,2.497,111.4,"27' 4""",64.52,291.8,7.3,63.62,12.05,9.39,360.0,15.51,1.503,2816.6,7.03,10.28,,"2' 4""","11' 2""","19' 11""","79' 6""",30.01,1.606,28.91,3.76,21.24,1.38,2.34,4.0,3.07,4.01,4.69,26.0,71.165,256.0,4.0,2.0,9.0,4.0,5.0
Si Woo Kim,176.7,159.3,162.4,165.2,-0.12,46.3,77.21,51.24,65.54,77.14,62.38,65.85,61.65,60.87,45.99,72.97,84.43,81.77,89.41,49.32,58.82,96.67,57.64,45.57,110000.0,1074246,1.0,"$1,074,246","90' 0""",169.47,287.0,276.0,313.2,2.432,113.47,"23' 5""",57.03,298.1,8.0,57.62,9.4,14.05,362.0,15.13,1.494,2468.7,7.35,9.93,0.01,"2' 4""","9' 10""","13' 4""","75' 7""",32.15,1.598,28.77,3.89,21.85,1.33,2.61,3.0,3.07,3.98,4.78,32.0,71.25399999999998,288.0,3.0,9.0,1.0,3.0,5.0
Phil Mickelson,176.7,158.5,161.0,164.0,-0.09,50.0,76.88,50.91,63.51,69.41,56.09,58.33,65.6,46.32,37.5,70.0,80.7,76.95,85.12,56.6,60.6,95.24,60.83,58.21,110000.0,1493908,2.0,"$1,493,908","120' 7""",174.02,325.0,290.1,332.7,2.478,117.09,"24' 9""",54.0,301.5,5.4,52.21,11.86,22.46,394.0,13.44,1.487,2553.2,7.43,9.94,,"2' 0""","8' 5""","10' 7""","66' 4""",32.36,1.5759999999999998,28.37,3.76,21.68,1.35,2.49,7.0,3.07,4.02,4.64,19.0,71.009,192.0,7.0,,0.0,1.0,5.0
Danny Lee,177.0,170.8,164.2,168.3,-0.08199999999999999,51.7,78.51,55.45,65.62,74.36,59.58,67.47,61.9,50.31,44.7,80.36,83.25,80.06,84.31,53.08,59.72,83.87,57.04,53.33,166000.0,2043764,3.0,"$2,043,764","124' 7""",170.5,226.0,287.2,325.4,2.51,114.4,"23' 7""",57.07,302.0,7.8,56.66,13.29,15.67,382.0,13.97,1.49,2363.1,7.45,9.68,,"2' 6""","9' 7""","15' 5""","75' 6""",33.46,1.598,28.77,4.06,23.03,1.34,2.72,6.0,3.05,4.01,4.66,31.0,70.609,280.0,6.0,2.0,0.0,2.0,5.0
Cameron Tringale,177.2,168.1,161.8,166.0,-0.116,34.0,81.09,59.01,69.66,71.83,65.28,75.9,70.93,59.72,41.8,79.37,84.42,79.18,86.76,50.0,64.24,90.24,60.0,50.85,110000.0,911172,1.0,"$911,172","110' 5""",175.17,162.0,287.9,327.8,2.406,119.68,"26' 10""",54.03,301.9,6.4,54.45,9.77,19.84,383.0,15.32,1.464,2699.4,7.11,10.13,0.03,"2' 5""","8' 0""","10' 4""","69' 0""",29.95,1.612,29.02,3.89,22.05,1.68,2.08,5.0,3.04,3.97,4.62,32.0,70.53399999999998,245.0,5.0,,7.0,3.0,4.0
Patrick Cantlay,177.2,154.4,160.6,163.7,-0.15,44.7,82.55,53.23,68.36,79.0,62.15,66.43,62.76,56.57,42.39,82.26,85.71,83.55,87.16,55.41,59.54,82.76,55.56,58.7,186000.0,2118336,3.0,"$2,223,336","104' 9""",174.44,102.0,288.4,327.5,2.491,115.79,"26' 11""",59.35,303.1,6.2,59.0,10.34,16.69,378.0,13.94,1.509,2416.8,7.46,9.89,,"2' 1""","9' 8""","20' 4""","74' 7""",33.45,1.589,28.61,4.15,23.91,1.62,2.43,7.0,3.06,3.98,4.49,23.0,69.764,191.0,7.0,,0.0,0.0,4.0
J.T. Poston,177.2,156.2,166.9,167.6,-0.121,35.6,73.56,50.25,64.74,67.83,60.22,64.25,63.76,58.9,44.29,78.57,84.79,78.92,86.96,57.25,60.4,87.5,53.38,63.33,140000.0,1282929,2.0,"$1,555,429","107' 3""",169.21,274.0,279.7,315.4,2.474,113.05,"24' 3""",63.74,290.2,5.1,63.68,10.67,11.69,394.0,16.46,1.4980000000000002,2642.6,7.68,9.86,,"2' 2""","10' 3""","19' 3""","77' 11""",32.64,1.567,28.21,3.88,22.01,1.44,2.46,6.0,2.94,4.01,4.7,34.0,70.429,303.0,6.0,2.0,0.0,0.0,3.0
Louis Oosthuizen,177.3,167.4,158.3,163.5,-0.105,48.6,79.75,49.43,65.28,67.57,61.05,72.03,61.85,56.41,41.86,70.73,80.34,75.39,85.53,43.21,58.0,86.96,68.75,40.74,150000.0,1312138,2.0,"$1,312,138","101' 4""",169.23,201.0,281.1,342.1,2.501,112.41,"21' 5""",60.63,300.1,6.6,60.14,11.18,15.44,404.0,14.54,1.506,2529.6,7.27,10.04,,"2' 5""","10' 5""","29' 9""","75' 6""",30.07,1.6030000000000002,28.85,3.58,20.37,1.21,2.65,4.0,3.1,4.01,4.69,22.0,70.493,172.0,4.0,7.0,0.0,0.0,5.0
Xinjun Zhang,177.4,166.9,161.0,165.8,-0.08900000000000001,50.0,79.41,52.98,66.02,77.5,59.52,67.78,57.08,55.25,42.22,73.21,86.24,83.14,90.74,50.0,56.26,94.44,55.11,45.54,110000.0,1232376,3.0,"$1,232,376","94' 6""",170.4,283.0,279.5,311.1,2.405,116.22,"23' 9""",59.52,293.8,5.8,59.05,8.99,13.37,358.0,18.35,1.466,2602.1,7.17,9.9,0.01,"2' 1""","9' 9""","23' 8""","75' 4""",32.42,1.598,28.77,4.1,23.09,1.32,2.86,4.0,3.08,4.01,4.65,29.0,71.058,316.0,4.0,,2.0,1.0,5.0
Patton Kizzire,177.7,158.1,161.4,164.4,-0.093,61.5,77.4,51.98,64.85,71.88,62.17,69.23,66.49,51.7,47.83,84.62,92.14,83.9,95.05,45.45,56.61,100.0,52.42,48.0,,352764,1.0,"$437,764","113' 0""",170.74,346.0,283.5,308.8,2.486,114.04,"24' 9""",54.03,294.8,6.0,55.09,11.25,16.05,366.0,16.36,1.4980000000000002,2599.9,7.55,9.95,0.04,"2' 3""","9' 11""","28' 1""","77' 3""",32.55,1.587,28.56,3.78,21.62,1.25,2.64,6.0,3.06,4.05,4.61,23.0,71.444,208.0,6.0,2.0,2.0,0.0,4.0
